time_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,battery[V],last_motion[s]
49.99,-7455,1684,18735,-828,-597,369,0.00,0.00
50.01,-4720,990,20039,-322,-307,485,0.00,0.00
50.00,-4235,1311,17969,-390,824,438,0.00,0.00
49.99,-4323,2177,17537,-551,711,484,0.00,0.05
50.08,-4429,1975,15474,-764,441,244,0.00,0.10
49.93,-1664,955,13884,549,617,6,0.00,0.00
49.98,-1393,1180,11763,1105,526,-9,0.00,0.00
50.03,-1239,1867,11307,726,400,62,0.00,0.00
50.00,-913,2162,13402,316,-11,-164,0.00,0.00
50.00,-646,1164,13953,1073,-197,-360,0.00,0.05
49.99,-1426,1677,17715,1307,-308,-129,0.00,0.10
49.98,-462,2088,20501,511,-403,16,0.00,0.00
50.02,-1077,2341,18129,-110,-663,-90,0.00,0.00
50.00,-668,1527,19984,-131,-238,-676,0.00,0.05
49.98,-50,1636,16956,-90,-134,-342,0.00,0.00
50.08,-845,1524,16271,556,-531,-528,0.00,0.00
49.95,-1224,1203,17156,67,-307,-673,0.00,0.00
50.00,-1544,603,14834,-366,70,-115,0.00,0.05
49.99,-2091,986,14198,-84,-9,564,0.00,0.00
49.99,-2396,1014,14663,317,330,745,0.00,0.00
50.02,-2357,527,14443,324,376,602,0.00,0.05
50.00,-1306,-192,15259,-151,302,775,0.00,0.10
49.98,-1787,94,15254,18,-208,1007,0.00,0.15
50.03,-877,-430,18601,478,-620,1015,0.00,0.20
49.98,-1314,-232,19340,121,-324,1061,0.00,0.00
50.00,-1859,294,17372,-258,-327,894,0.00,0.00
50.07,-685,165,16830,-264,-405,687,0.00,0.05
49.94,-1669,167,15270,-61,347,671,0.00,0.10
50.00,-1696,414,12887,-666,116,430,0.00,0.00
50.01,-2231,-499,14387,-653,-85,149,0.00,0.00
50.01,-2220,-82,14652,131,101,430,0.00,0.05
50.00,-1811,294,17594,412,-97,178,0.00,0.10
50.00,-1605,569,18360,11,140,-14,0.00,0.00
49.98,-1146,1493,16466,-425,15,-319,0.00,0.00
50.03,-1425,1250,18753,-36,-430,-265,0.00,0.05
49.98,-405,1727,16837,281,561,138,0.00,0.00
50.00,380,2449,17565,499,-109,312,0.00,0.05
50.08,-623,713,18622,227,-613,181,0.00,0.10
49.94,-1034,1643,13490,530,860,500,0.00,0.15
49.97,-1634,1510,11656,740,395,243,0.00,0.00
50.03,-1178,2126,12882,285,79,28,0.00,0.00
50.00,-1951,2057,11306,386,-38,-151,0.00,0.00
49.98,-1493,1465,14057,738,-490,-191,0.00,0.00
50.02,-1751,900,15867,1048,-480,77,0.00,0.05
49.98,-1624,165,13884,956,-504,399,0.00,0.00
50.02,-143,-1740,18341,1071,-604,601,0.00,0.05
49.98,1928,-2045,16627,-117,-409,904,0.00,0.00
50.00,926,-1758,17422,28,-718,1015,0.00,0.05
50.08,-1292,-2921,19221,-290,-783,489,0.00,0.10
49.93,-713,-2048,15404,-823,-565,-8,0.00,0.00
50.00,190,-1608,12959,181,-602,97,0.00,0.00
50.00,-3218,-1435,13601,494,-637,69,0.00,0.00
50.01,1116,-308,10386,7,-394,380,0.00,0.00
49.99,367,-1096,10647,472,-701,690,0.00,0.00
50.01,698,763,13833,577,-506,1032,0.00,0.00
50.01,-130,-659,14545,911,-207,1053,0.00,0.00
49.98,-483,-472,17354,775,-581,1012,0.00,0.00
50.01,-4336,-2910,20877,518,-247,1118,0.00,0.00
49.99,-3191,-508,13990,-443,430,-19,0.00,0.00
50.05,-34,621,15240,91,1069,-327,0.00,0.00
49.98,3041,2305,13811,-160,792,-185,0.00,0.05
49.96,3279,369,17560,769,1094,757,0.00,0.00
50.03,-140,2520,16914,235,869,935,0.00,0.00
49.99,-2153,85,16455,286,210,525,0.00,0.05
49.99,-2515,2002,16418,460,166,126,0.00,0.10
50.02,-172,697,19622,204,97,-1184,0.00,0.15
50.00,818,-623,21277,415,705,-447,0.00,0.00
49.98,2748,-861,18447,-158,709,-138,0.00,0.00
50.03,1967,-304,18631,196,556,480,0.00,0.05
49.98,1474,-300,20178,-226,-7,369,0.00,0.10
50.06,1320,808,20876,-250,77,374,0.00,0.00
49.94,1511,2212,20099,-186,140,664,0.00,0.00
49.98,598,3045,18468,-352,319,523,0.00,0.05
50.02,-558,1,16871,-111,-271,323,0.00,0.00
50.00,-380,2870,21345,-66,-269,-125,0.00,0.00
49.98,-2833,-364,19069,413,760,759,0.00,0.00
50.03,-1504,783,17349,-555,-70,-623,0.00,0.05
49.98,-584,1472,15578,181,157,-445,0.00,0.00
49.99,-1090,-1729,17069,-169,-167,-482,0.00,0.00
50.03,-215,-113,16662,96,-37,226,0.00,0.05
49.98,1593,-2647,24063,12,-290,68,0.00,0.10
50.06,-1953,722,19777,434,-124,874,0.00,0.00
49.96,854,1925,16859,154,366,512,0.00,0.05
49.96,-1598,1138,12957,-464,-597,403,0.00,0.00
50.02,-3071,-503,17608,-402,-913,259,0.00,0.00
50.00,-35,1461,16481,25,-75,216,0.00,0.00
49.99,-1589,773,18759,-594,-485,-179,0.00,0.05
50.02,-5968,-1271,17822,585,292,994,0.00,0.00
50.00,3153,-1035,15863,-277,-359,-462,0.00,0.05
49.98,-3241,-30,16077,-65,-285,329,0.00,0.00
50.03,-35,-2064,16880,149,-105,232,0.00,0.05
49.98,-1844,2292,17275,-85,-290,253,0.00,0.10
50.08,-182,450,16789,156,-111,284,0.00,0.15
49.93,-1644,-714,16781,101,-289,409,0.00,0.20
49.99,3479,-1865,17197,-895,-815,-784,0.00,0.25
50.02,41,424,15673,-543,-945,-552,0.00,0.30
50.00,-443,-560,15760,-366,-56,218,0.00,0.00
49.99,520,1776,18502,-790,-173,-327,0.00,0.05
50.01,5,313,16337,-391,126,-110,0.00,0.00
50.00,-1771,1571,18355,-651,312,-242,0.00,0.05
49.98,-847,-1919,16663,-555,331,-583,0.00,0.00
50.03,746,988,19379,-381,180,-697,0.00,0.05
49.98,-456,2609,16554,-835,-359,-1617,0.00,0.00
50.06,-3870,2900,17105,-1080,-386,-1175,0.00,0.00
49.98,-975,42,16486,-610,362,73,0.00,0.05
49.96,2051,-1410,15495,-251,174,-369,0.00,0.10
50.03,-358,1636,17575,34,-44,-154,0.00,0.00
49.98,-369,74,16571,74,-43,-12,0.00,0.05
49.98,-596,-322,16188,-8,-18,6,0.00,0.10
50.03,-846,-763,15727,-159,-26,93,0.00,0.15
49.99,-242,3167,19273,-59,-78,174,0.00,0.20
49.98,-358,-1128,16247,-131,11,-136,0.00,0.00
50.03,-287,-1211,16122,-345,-25,-113,0.00,0.00
49.99,-3494,2363,14842,-273,63,297,0.00,0.05
49.98,-510,131,17889,-223,300,93,0.00,0.00
50.06,-1495,874,15788,277,77,42,0.00,0.00
49.98,-637,-102,16381,-164,5,-36,0.00,0.05
49.96,-411,-830,14784,-227,-15,-44,0.00,0.10
50.02,-238,-66,16642,-40,-17,4,0.00,0.00
50.00,743,366,16574,346,-17,75,0.00,0.05
49.98,-138,905,16133,-126,-191,-223,0.00,0.10
50.03,-1108,258,16072,18,-95,236,0.00,0.15
49.98,-145,-1177,16308,-32,-44,184,0.00,0.20
50.02,-382,-655,16379,45,-13,8,0.00,0.25
49.98,-623,236,15747,-87,-38,-7,0.00,0.30
50.00,-54,-1051,16634,-78,-33,-102,0.00,0.35
50.07,376,-1889,16449,119,12,182,0.00,0.40
49.94,-280,63,16188,-57,-41,6,0.00,0.45
49.98,-889,251,16081,-130,-49,-4,0.00,0.50
50.02,-1172,4999,13343,-20,-64,105,0.00,0.55
49.98,-927,-1773,16884,135,-48,395,0.00,0.00
49.98,3625,-3561,18945,693,-391,395,0.00,0.00
50.02,-1752,-485,16629,907,-578,430,0.00,0.00
50.01,416,4473,14376,329,-310,1307,0.00,0.05
49.98,223,-994,17512,667,-760,1990,0.00,0.00
50.03,-402,-471,19889,1309,-370,2903,0.00,0.05
49.98,-375,689,16052,1152,-48,1517,0.00,0.00
50.00,-1211,-2365,17237,692,-304,729,0.00,0.00
50.07,-1599,72,21742,944,437,-302,0.00,0.05
49.94,425,-1354,11204,238,624,-188,0.00,0.00
50.01,-734,-681,16542,-913,-466,-706,0.00,0.00
49.99,-2348,-1575,17319,-583,46,-608,0.00,0.05
49.98,-719,294,16426,-1382,-746,-781,0.00,0.00
50.03,-486,-1697,13579,-806,-194,-654,0.00,0.05
49.98,1911,-113,16535,-632,97,-566,0.00,0.00
49.98,757,215,14668,-512,-74,-255,0.00,0.05
50.02,829,56,15447,93,348,239,0.00,0.00
50.00,-831,-464,15064,644,721,397,0.00,0.05
49.98,-834,-1172,16481,712,567,80,0.00,0.10
50.06,-878,-1037,16989,134,119,-144,0.00,0.00
49.96,-657,-820,16296,28,-86,-130,0.00,0.00
50.00,53,-497,16295,-15,-62,-154,0.00,0.05
49.98,-488,-372,16830,2,44,23,0.00,0.10
50.00,-519,278,16088,45,-60,-154,0.00,0.15
50.02,453,-519,16374,120,-69,18,0.00,0.20
50.00,-403,-902,16262,103,52,210,0.00,0.25
49.98,-952,-251,16628,99,19,216,0.00,0.30
50.03,-1247,-377,16893,-61,84,-7,0.00,0.35
49.98,-303,-91,16304,-30,-63,-129,0.00,0.40
49.99,37,-124,16420,-31,-55,-89,0.00,0.45
50.08,239,-162,16069,27,14,29,0.00,0.50
49.94,-418,-247,16634,-35,19,196,0.00,0.55
49.98,-953,-337,16223,-29,-27,54,0.00,0.60
50.02,-549,-564,16590,61,-30,-60,0.00,0.65
49.98,-224,-194,16494,31,55,-90,0.00,0.70
50.00,-356,-388,16302,177,48,-50,0.00,0.75
50.02,-649,-660,16953,13,-21,-80,0.00,0.80
50.00,363,-893,15142,137,-32,-68,0.00,0.85
49.98,669,-1698,15008,467,62,209,0.00,0.00
50.03,-182,-1188,15522,651,208,377,0.00,0.05
49.98,-83,-111,16116,676,-57,192,0.00,0.10
49.99,-829,-2063,16844,723,290,450,0.00,0.15
50.08,-1464,-1163,16724,511,230,274,0.00,0.20
49.94,-340,-9677,23653,-475,303,82,0.00,0.25
49.98,917,434,13403,-783,-530,-109,0.00,0.00
50.02,1597,1296,13962,-298,-182,349,0.00,0.00
50.00,439,883,15477,123,284,710,0.00,0.00
49.98,-31569,-4040,36965,832,1850,259,0.00,0.05
50.01,-3176,-2118,12046,-660,-300,-137,0.00,0.00
50.00,77,-857,15064,-235,-149,-271,0.00,0.00
49.99,-943,-871,16614,-47,-66,-105,0.00,0.00
50.00,-414,677,16328,-1159,-901,-805,0.00,0.00
49.98,-1325,460,16320,-447,-351,-360,0.00,0.00
50.07,-1427,1612,16696,-394,-251,-44,0.00,0.05
49.96,4695,-875,15649,-202,-116,-1,0.00,0.10
49.97,-252,-972,16575,278,58,9,0.00,0.15
50.03,-1761,640,16134,116,19,11,0.00,0.20
49.98,-83,-496,16663,13,-14,6,0.00,0.25
50.00,-559,-619,16141,5,-13,9,0.00,0.30
50.02,-232,-373,16441,13,-16,8,0.00,0.35
50.00,-404,-381,16371,13,-17,10,0.00,0.40
49.99,-343,-410,16400,15,-18,10,0.00,0.45
50.02,-435,-433,16513,16,-18,6,0.00,0.50
49.99,-306,-383,16535,15,-17,7,0.00,0.55
49.98,-393,-394,16466,17,-15,8,0.00,0.60
50.08,-421,-402,16534,15,-10,7,0.00,0.65
49.94,-371,-407,16437,12,-7,8,0.00,0.70
49.98,-318,-435,16573,13,-1,9,0.00,0.75
50.02,-339,-371,16360,13,4,5,0.00,0.80
49.98,-320,-382,16377,10,3,6,0.00,0.85
50.00,-263,-416,16440,11,2,8,0.00,0.90
50.02,-252,-403,16402,14,-7,7,0.00,0.95
49.99,-268,-498,16405,16,-15,6,0.00,1.00
49.98,-315,-464,16359,15,-21,7,0.00,1.05
50.03,-275,-431,16385,17,-22,9,0.00,1.10
49.98,-274,-475,16422,18,-23,11,0.00,1.15
49.99,-311,-370,16396,18,-22,8,0.00,1.20
50.07,-298,-375,16397,14,-19,9,0.00,1.25
49.95,-291,-384,16369,15,-21,8,0.00,1.30
49.98,-249,-353,16342,15,-24,8,0.00,1.35
50.02,-253,-359,16366,18,-28,7,0.00,1.40
49.98,-292,-386,16392,20,-38,4,0.00,1.45
50.00,-253,-382,16563,23,-42,8,0.00,1.50
50.02,-308,-479,16501,26,-42,6,0.00,1.55
49.98,-341,-611,16586,25,-37,10,0.00,1.60
50.00,-202,-430,16712,22,-25,12,0.00,1.65
50.02,-287,-530,16454,19,-17,12,0.00,1.70
49.99,-330,-409,16298,15,-12,9,0.00,1.75
49.98,-131,-469,16393,8,3,9,0.00,1.80
50.09,-289,-492,16284,12,-7,9,0.00,1.85
49.94,-226,-439,16414,13,-15,6,0.00,1.90
49.98,-135,-341,16358,12,-11,9,0.00,1.95
50.02,-379,-466,16442,16,-18,8,0.00,2.00
49.99,-365,-567,16500,15,-14,9,0.00,2.05
49.98,-399,-364,16438,14,-1,10,0.00,2.10
50.03,-342,-426,16628,12,12,11,0.00,2.15
49.98,-75,-495,16551,15,10,11,0.00,2.20
50.00,-194,-425,16308,11,7,9,0.00,2.25
50.00,-263,-433,16202,6,1,8,0.00,2.30
50.02,-191,-303,16217,8,-9,7,0.00,2.35
49.98,-170,-339,16274,14,-23,7,0.00,2.40
49.99,-118,-435,16517,22,-36,8,0.00,2.45
50.08,-168,-430,16404,22,-39,8,0.00,2.50
49.94,-296,-499,16542,25,-40,6,0.00,2.55
49.98,-299,-514,16595,26,-37,9,0.00,2.60
50.02,-253,-479,16571,22,-25,8,0.00,2.65
49.99,-303,-392,16442,17,-17,9,0.00,2.70
49.99,-339,-337,16462,14,-11,8,0.00,2.75
50.02,-305,-405,16485,13,-9,8,0.00,2.80
49.98,-201,-404,16477,11,-13,9,0.00,2.85
50.00,-205,-468,16418,14,-15,7,0.00,2.90
50.02,239,-711,16734,14,-16,6,0.00,2.95
49.98,-51,-478,16260,28,-30,5,0.00,3.00
50.00,292,-427,16417,19,-14,8,0.00,3.05
50.08,-888,-553,16696,21,-4,7,0.00,3.10
49.93,-2084,-680,17178,26,-10,8,0.00,3.15
49.99,-265,112,15730,14,9,13,0.00,3.20
50.02,554,-132,16165,10,-3,8,0.00,3.25
49.99,-262,-350,16197,8,-13,8,0.00,3.30
49.99,128,-276,16038,11,-23,8,0.00,3.35
50.02,-134,-437,16336,13,-24,6,0.00,3.40
50.00,33,-354,16581,12,-19,6,0.00,3.45
49.98,-313,-385,16616,19,-27,4,0.00,3.50
50.03,-530,-585,16694,21,-26,8,0.00,3.55
49.98,-596,-503,16623,18,-21,8,0.00,3.60
49.99,9,-290,16338,17,2,9,0.00,3.65
50.08,-483,-533,16284,25,-26,7,0.00,3.70
49.93,1078,-544,17402,13,-9,9,0.00,3.75
49.99,-40,-275,15130,17,-9,8,0.00,3.80
50.00,578,-73,15357,25,-44,6,0.00,0.00
50.03,275,-187,17175,25,-26,4,0.00,0.05
49.98,-44,-416,15671,19,-45,5,0.00,0.00
49.98,-1049,-561,16437,21,-19,10,0.00,0.05
50.03,-482,-622,16709,19,-30,6,0.00,0.10
49.98,73,-439,16679,19,-25,9,0.00,0.15
50.00,-121,-507,16400,11,-5,9,0.00,0.20
50.02,-376,-592,16674,12,-8,12,0.00,0.25
49.99,24,-427,16452,12,-9,13,0.00,0.30
49.99,-72,-467,16530,20,-15,12,0.00,0.35
50.06,229,-67,16377,13,8,13,0.00,0.40
49.95,-673,-479,16165,22,-23,11,0.00,0.45
49.98,-181,-536,16759,10,-4,10,0.00,0.50
50.03,-403,-120,16489,22,-25,7,0.00,0.55
49.98,-249,-582,16476,15,-22,8,0.00,0.60
50.00,-179,-510,16184,13,-6,9,0.00,0.65
50.02,-207,-413,16484,20,-20,7,0.00,0.70
49.98,-423,-481,16316,14,-9,8,0.00,0.75
50.00,-243,-399,16435,11,-5,9,0.00,0.80
50.02,-125,-353,16302,16,-10,8,0.00,0.85
49.98,-278,-309,16417,13,7,8,0.00,0.90
49.99,65,-373,16326,16,-12,7,0.00,0.95
50.07,-424,-613,16342,23,-13,6,0.00,1.00
49.95,-306,-311,16331,24,-23,3,0.00,1.05
49.98,-319,-555,16781,17,-27,7,0.00,1.10
50.02,-129,-317,16570,20,-20,10,0.00,1.15
49.98,-492,-362,16428,20,-16,12,0.00,1.20
50.00,-187,-546,16359,16,-24,12,0.00,1.25
50.02,-221,-483,16345,11,-12,8,0.00,1.30
49.98,-223,-511,16347,10,-15,6,0.00,1.35
50.00,-245,-417,16313,14,-20,5,0.00,1.40
50.02,-202,-508,16409,13,-22,7,0.00,1.45
49.99,-470,-456,16361,16,-15,9,0.00,1.50
49.98,-477,-413,16570,23,-29,6,0.00,1.55
50.08,56,-249,16876,22,-17,10,0.00,1.60
49.95,-598,-346,16531,21,-12,12,0.00,1.65
49.97,-101,-472,16668,20,-20,10,0.00,1.70
50.03,-150,-420,16735,21,-4,7,0.00,1.75
49.98,-493,-497,16346,12,-1,10,0.00,1.80
50.00,-111,-554,16378,10,-4,8,0.00,1.85
50.00,-144,-522,16332,7,0,6,0.00,1.90
50.02,-195,-281,16244,11,-5,9,0.00,1.95
49.99,-98,-478,16124,9,-12,8,0.00,2.00
49.99,-203,-599,16215,15,-24,9,0.00,2.05
50.02,-304,-523,16603,19,-29,8,0.00,2.10
49.98,-409,-381,16266,19,-24,9,0.00,2.15
49.98,-281,-462,16454,22,-31,8,0.00,2.20
50.09,-137,-89,16570,20,-18,12,0.00,2.25
49.93,-291,-424,16566,18,-20,10,0.00,2.30
49.99,-263,-455,16491,16,-10,9,0.00,2.35
50.02,-125,-375,16397,13,-8,8,0.00,2.40
50.00,-210,-482,16371,13,-10,7,0.00,2.45
49.98,-178,-691,16526,16,-20,4,0.00,2.50
50.03,108,-410,16251,20,-25,6,0.00,2.55
49.98,-177,-449,16286,21,-32,7,0.00,2.60
50.00,-270,-415,16342,21,-32,7,0.00,2.65
50.02,-268,-454,16562,23,-29,8,0.00,2.70
49.99,-281,-350,16555,19,-21,10,0.00,2.75
49.98,-214,-418,16669,18,-14,10,0.00,2.80
50.09,-286,-446,16530,15,-3,10,0.00,2.85
49.93,-311,-507,16535,12,-1,12,0.00,2.90
49.99,-85,-565,16569,11,-2,9,0.00,2.95
50.02,34,-628,16504,15,-6,11,0.00,3.00
49.99,-265,-407,16449,16,-14,8,0.00,3.05
49.98,-268,-321,16526,14,-23,9,0.00,3.10
50.03,-243,-398,16418,21,-25,10,0.00,3.15
49.99,-334,-398,16548,16,-23,9,0.00,3.20
49.98,-205,-502,16380,15,-20,6,0.00,3.25
50.03,-183,-461,16249,14,-9,10,0.00,3.30
49.98,-171,-389,16271,14,-8,8,0.00,3.35
49.99,-107,-465,16307,13,-4,8,0.00,3.40
50.08,-400,-495,16426,15,-8,7,0.00,3.45
49.94,-135,-378,16426,14,-9,10,0.00,3.50
49.98,-215,-376,16481,19,-13,8,0.00,3.55
50.03,-261,-491,16651,17,-14,8,0.00,3.60
